Country,HDI Rank,Export_Import,Foreign_Inflow,Dev_Assistance,Priv_Capital_Flow,Remittance_Inflow,Region
 Congo,0.787234043,0.241903689,0.093242365,0.058020478,1,0.002211302,Africa
Dem. Rep. Congo,0.925531915,0.115178823,0.037524366,0.197952218,0.870242215,0.094594595,Africa
 Costa Rica,0.324468085,0.111799493,0.039798571,0.017064846,0.846020761,0.022113022,North America
 Croatia,0.223404255,0.215150662,0.036224821,0.017064846,0.888408304,0.163882064,Europe
 Cuba,0.367021277,0.001971276,0.055024589,0.112627986,0.812962474,0.119627561,North America
 Cyprus,0.170212766,0.327231766,0.190870695,0.017064846,0.694636678,0.04963145,Europe
 Czechia,0.138297872,0.333708814,0.039311241,0.079281449,0.865916955,0.038574939,Europe
C��te d'I,0.856382979,0.054069276,0.034925276,0.068259386,0.862456747,0.014004914,Africa
 Denmark,0.04787234,0.2213461,0.030051982,0.022274809,0.935121107,0.00958231,Europe
 Djibouti,0.877659574,0.765699803,0.042235218,0.204778157,0.80255159,0.043734644,Africa
 Dominica,0.494680851,0.319346663,0.037037037,0.174061433,0.886678201,0.202702703,North America
Dominican Rep.,0.462765957,0.074908476,0.038336582,0.013651877,0.842560554,0.204914005,North America
 Ecuador,0.45212766,0.057166995,0.03460039,0.023890785,0.867647059,0.074201474,South America
 Egypt,0.611702128,0.061672768,0.038011696,0.037542662,0.839100346,0.217199017,Africa
 El Salvador,0.654255319,0.143058293,0.037524366,0.044368601,0.871107266,0.514250614,North America
 Eq. Guinea,0.765957447,0.228104759,0.038011696,0.013651877,0.907823268,0.001719902,Africa
 Eritrea,0.95212766,0.059138271,0.036224821,0.232081911,0.857477356,0.011547912,Africa
 Estonia,0.14893617,0.323289214,0.048083171,0.039902691,0.866782007,0.042506143,Europe
eSwatini,0.728723404,0.163334272,0.037849253,0.105802048,0.889273356,0.066093366,Africa
 Ethiopia,0.914893617,0.006477049,0.039636127,0.211604096,0.854069971,0.013513514,Africa
 Finland,0.053191489,0.149535342,0.038174139,0.083354011,0.792387543,0.008353808,Europe
 France,0.132978723,0.10729372,0.03719948,0.057684491,0.861591696,0.023832924,Europe
 Gabon,0.627659574,0.130949028,0.041260559,0.034129693,0.883217993,0.002702703,Africa
 Gambia,0.909574468,0.110109828,0.036387264,0.508532423,0.87306771,0.383783784,Africa
 Georgia,0.319148936,0.254857787,0.044834308,0.129692833,0.811418685,0.312776413,Asia
 Germany,0.026595745,0.173753872,0.035250162,0.033842386,0.9316609,0.010565111,Europe
 Ghana,0.728723404,0.126724866,0.040610786,0.068259386,0.842560554,0.129238329,Africa
 Greece,0.164893617,0.135173191,0.036712151,0.031754467,0.982698962,0.007862408,Europe
 Grenada,0.388297872,0.23542664,0.054580897,0.109215017,0.845155709,0.096805897,North America
 Guatemala,0.670212766,0.054914109,0.035250162,0.030716724,0.871972318,0.341277641,North America
 Guinea,0.941489362,0.2317657,0.037849253,0.184300341,0.867647059,0.005159705,Africa
 Guinea-Bissau,0.925531915,0.086172909,0.035412606,0.368600683,0.878892734,0.24004914,Africa
 Guyana,0.643617021,0.148408899,0.082521118,0.102389078,0.653114187,0.191646192,South America
 Haiti,0.89893617,0.13489158,0.034925276,0.358361775,0.87865116,0.946437346,North America
 Honduras,0.696808511,0.197690791,0.039311241,0.112627986,0.873702422,0.528746929,North America
" Hong Kong, China (SAR)",0.015957447,0.919177696,0.056692658,0.010238908,0.96799308,0.002948403,Asia
 Hungary,0.207446809,0.384680372,0.039311241,0.066267593,0.891868512,0.066584767,Europe
 Iceland,0.015957447,0.167558434,0.030214425,0.090420218,0.948961938,0.015724816,Europe
 India,0.691489362,0.038299071,0.036062378,0.013651877,0.874567474,0.071007371,Asia
 Indonesia,0.563829787,0.030695579,0.036712151,0.013651877,0.861591696,0.025552826,Asia
 Iran,0.367021277,0.063080822,0.034925276,0.010238908,0.882157722,0.007371007,Asia
 Iraq,0.64893617,0.140805407,0.031026641,0.044368601,0.882352941,0.007862408,Asia
 Ireland,0.005319149,0.599267812,0,0.15070088,0.851211073,0.003685504,Europe
 Israel,0.095744681,0.090397071,0.040610786,0.020477816,0.887543253,0.005896806,Asia
 Italy,0.14893617,0.094902844,0.035575049,0.077514582,0.868512111,0.012776413,Europe
 Jamaica,0.531914894,0.176288369,0.041098116,0.034129693,0.829584775,0.384275184,North America
 Japan,0.095744681,0.029287525,0.034275504,0.053735093,0.944636678,0.002211302,Asia
 Jordan,0.537234043,0.172345818,0.036712151,0.215017065,0.878027682,0.253316953,Asia
 Kazakhstan,0.265957447,0.107012109,0.036387264,0.010238908,0.896193772,0.006879607,Asia
 Kenya,0.755319149,0.019712757,0.036224821,0.109215017,0.897923875,0.072481572,Africa
 Kiribati,0.707446809,0.202759786,0.032163743,0.706484642,0.907439446,0.252088452,Oceania
South Korea,0.117021277,0.141650239,0.03411306,0.010238908,0.928200692,0.011056511,Asia
 Kuwait,0.335106383,0.208673613,0.033138402,0.010238908,0.899653979,0.0004914,Asia
 Kyrgyzstan,0.632978723,0.215995494,0.035899935,0.187713311,0.879757785,0.7002457,Asia
 Laos,0.723404255,0.137144466,0.044996751,0.122866894,0.806228374,0.038574939,Asia
 Latvia,0.191489362,0.262742889,0.037361923,0.133709669,0.851211073,0.081572482,Europe
 Lebanon,0.484042553,0.104759223,0.040935673,0.098976109,0.89532872,0.343734644,Asia
 Lesotho,0.872340426,0.304702901,0.040935673,0.187713311,0.852076125,0.594348894,Africa
 Liberia,0.925531915,0.284708533,0.039636127,0.699658703,0.753460208,0.241031941,Africa
 Libya,0.553191489,0.258800338,0.033138402,0.030716724,0.897923875,0.000737101,Africa
 Lithuania,0.175531915,0.349760631,0.03719948,0.101818594,0.837370242,0.058968059,Europe
 Luxembourg,0.117021277,1,0.020305393,0.145462268,0,0.069287469,Europe
 Madagascar,0.867021277,0.094058012,0.0402859,0.184300341,0.862456747,0.075675676,Africa
 Malawi,0.920212766,0.113207547,0.035575049,0.651877133,0.821799308,0.058230958,Africa
 Malaysia,0.324468085,0.272317657,0.037037037,0.010238908,0.91349481,0.011302211,Asia
 Maldives,0.5,0.30780062,0.049545159,0.09556314,0.789792388,0.001719902,Asia
 Mali,0.973404255,0.086736131,0.037524366,0.313993174,0.861591696,0.145208845,Africa
 Malta,0.143617021,0.660658969,0.082358674,0.027303754,0.571799308,0.043734644,Europe
 Marshall Islands,0.617021277,0.279639538,0.0402859,0.662116041,0.857266436,0.349140049,Oceania
 Mauritania,0.829787234,0.190932132,0.034762833,0.228668942,0.89100346,0.01965602,Africa
 Mauritius,0.345744681,0.18698958,0.037361923,0.023890785,0.795847751,0.030958231,Africa
 Mexico,0.388297872,0.145874402,0.036874594,0.010238908,0.874567474,0.075429975,North America
 Micronesia (Federated States of),0.718085106,0.209800056,0.04337232,0.829351536,0.85467128,0.142751843,Oceania
 Moldova,0.473404255,0.167276823,0.041260559,0.075085324,0.85467128,0.392383292,Europe
 Mongolia,0.521276596,0.279921149,0.061728395,0.105802048,0.725778547,0.101965602,Asia
 Montenegro,0.25,0.234018586,0.046621183,0.105802048,0.781141869,0.261179361,Europe
 Morocco,0.638297872,0.172064207,0.035250162,0.034129693,0.880622837,0.139312039,Africa
 Mozambique,0.957446809,0.241622078,0.062703054,0.440273038,0.735294118,0.040540541,Africa
 Myanmar,0.776595745,0.096592509,0.035899935,0.088737201,0.878892734,0.091646192,Asia
 Namibia,0.686170213,0.160799775,0.032975958,0.051194539,0.890138408,0.01007371,Africa
 Nepal,0.75,0.080259082,0.033463288,0.177474403,0.932855177,0.651842752,Asia
 Netherlands,0.037234043,0.360180231,0.038174139,0.0327358,0.996539792,0.006388206,Europe
 New Zealand,0.069148936,0.08307519,0.036224821,0.058185662,0.888408304,0.005159705,Oceania
 Nicaragua,0.675531915,0.193466629,0.03768681,0.105802048,0.871107266,0.324570025,North America
 Niger,1,0.037454238,0.038986355,0.33447099,0.853806228,0.060933661,Africa
 Nigeria,0.85106383,0.018586314,0.033950617,0.040955631,0.865051903,0.13046683,Africa
 North Macedonia,0.430851064,0.312306393,0.039311241,0.058020478,0.883217993,0.061425061,Europe
 Norway,0,0.128696142,0.033788174,0.059771536,0.921280277,0.003685504,Europe
 Oman,0.313829787,0.209236835,0.046133853,0.010238908,0.762110727,0.001228501,Asia
 Pakistan,0.813829787,0.011264433,0.034437947,0.023890785,0.887543253,0.197051597,Asia
 Palau,0.260638298,0.272880879,0.045484081,0.972696246,0.810553633,0.018918919,Oceania
 Palestine,0.606382979,0.149816953,0.036062378,0.460750853,0.891868512,0.417199017,Asia
 Panama,0.29787234,0.177414813,0.047920728,0.013651877,0.797577855,0.021375921,North America
 Papua New Guinea,0.819148936,0.250633624,0.040935673,0.126279863,0.883217993,0.0002457,Oceania
 Paraguay,0.542553191,0.120529428,0.034762833,0.023890785,0.871107266,0.042751843,South America
 Peru,0.414893617,0.058293438,0.037849253,0.017064846,0.878027682,0.036117936,South America
 Philippines,0.563829787,0.118839763,0.036387264,0.013651877,0.879757785,0.229238329,Asia
 Poland,0.180851064,0.224725429,0.03719948,0.05382961,0.89532872,0.027027027,Europe
 Portugal,0.196808511,0.172345818,0.038823912,0.029332434,0.896193772,0.005651106,Europe
 Qatar,0.234042553,0.169248099,0.030701754,0.010238908,0.917820069,0.007616708,Asia
 Romania,0.255319149,0.163897494,0.03768681,-0.00934279,0.863321799,0.075675676,Europe
 Russia,0.271276596,0.063925655,0.036224821,0.058745771,0.882352941,0.014987715,Asia/Europe
 Rwanda,0.845744681,0.076879752,0.038174139,0.419795222,0.869377163,0.063144963,Africa
 Saint Kitts and Nevis,0.388297872,0.271191214,0.048245614,0.133105802,0.829584775,0.06044226,North America
 Saint Vincent and the Grenadines,0.510638298,0.165587159,0.055230669,0.085324232,0.808823529,0.139312039,North America
 Samoa,0.585106383,0.182202197,0.036387264,0.508532423,0.865051903,0.423832924,Oceania
 Saudi Arabia,0.207446809,0.100816671,0.03411306,0.010238908,0.889273356,0.000982801,Asia
 Senegal,0.888297872,0.096029288,0.038986355,0.160409556,0.813148789,0.262899263,Africa
 Serbia,0.335106383,0.242748522,0.046621183,0.085324232,0.82266436,0.202457002,Europe
 Seychelles,0.35106383,0.362714728,0.055717999,0.04778157,0.775951557,0.034152334,Africa
 Sierra Leone,0.962765957,0.085328077,0.041747888,0.464163823,0.847750865,0.038574939,Africa
 Singapore,0.053191489,0.824274852,0.079109812,0.010238908,0.960207612,0.001789528,Asia
 Slovakia,0.20212766,0.447479583,0.036712151,0.0450156,0.878027682,0.046437346,Europe
 Slovenia,0.111702128,0.375387215,0.037361923,0.020477816,0.896193772,0.026044226,Europe
 Solomon Islands,0.79787234,0.202759786,0.036549708,0.505119454,0.880622837,0.033415233,Oceania
 South Africa,0.60106383,0.092368347,0.035250162,0.020477816,0.867647059,0.006142506,Africa
 S. Sudan,0.978723404,0.110391439,0.033138402,0.552901024,0.872320277,0.233169533,Africa
 Spain,0.127659574,0.11405238,0.035250162,0.06772913,0.865916955,0.005651106,Europe
 Sri Lanka,0.377659574,0.073218812,0.036062378,0,0.87716263,0.197297297,Asia
 Sudan,0.89893617,0.000844832,0.0402859,0.146757679,0.855536332,0.055282555,Africa
 Suriname,0.510638298,0.181920586,0.036062378,0.023890785,0.866782007,0.0002457,South America
 Sweden,0.031914894,0.180512532,0.040610786,0.021151371,0.915224913,0.014742015,Europe
 Switzerland,0.005319149,0.261898057,0.02891488,0.047998396,0.934256055,0.008845209,Europe
 Syria,0.79787234,0.156575613,0.035899935,0.020477816,0.865082713,0.07002457,Asia
 Tajikistan,0.659574468,0.085046466,0.037361923,0.163822526,0.881487889,0.702948403,Asia
 Tanzania,0.861702128,0.016333427,0.036062378,0.160409556,0.878027682,0.016953317,Africa
 Thailand,0.414893617,0.236271473,0.035087719,0.006825939,0.919550173,0.031941032,Asia
 Timor-Leste,0.744680851,0.103069558,0.040448343,0.317406143,0.993944637,0.147420147,Asia
 Togo,0.882978723,0.126161645,0.027615335,0.197952218,0.961937716,0.206388206,Africa
 Tonga,0.54787234,0.202196564,0.038499025,0.662116041,0.858131488,1,Oceania
 Tunisia,0.5,0.236834694,0.03719948,0.081911263,0.87283737,0.12039312,Africa
 Turkey,0.281914894,0.098563785,0.034925276,0.017064846,0.888408304,0.002702703,Asia/Europe
 Turkmenistan,0.585106383,0.024781752,0.041098116,0.010238908,0.862575624,0.0002457,Asia
 Uganda,0.840425532,0.05519572,0.039148798,0.218430034,0.871107266,0.101719902,Africa
 Ukraine,0.388297872,0.179667699,0.036387264,0.040955631,0.851211073,0.254299754,Europe
 United Arab Emirates,0.159574468,0.378766545,0.03719948,0.088401656,0.843731045,0.035385446,Asia
 United Kingdom,0.063829787,0.106730498,0.034762833,0.033547082,0.905709343,0.003685504,Europe
 United States of America,0.085106383,0,0.035575049,0.045063165,0.881487889,0.000737101,North America
 Uruguay,0.287234043,0.041115179,0.035250162,0.013651877,0.918685121,0.004422604,South America
 Uzbekistan,0.558510638,0.131230639,0.039473684,0.04778157,0.839100346,0.362407862,Asia
 Vanuatu,0.739361702,0.201351732,0.039798571,0.470989761,0.844290657,0.094348894,Oceania
 Venezuela,0.595744681,0.061109547,0.033463288,0.010238908,0.894463668,0.000737101,South America
 Viet Nam,0.617021277,0.518163897,0.04337232,0.034129693,0.830449827,0.159459459,Asia
 Zambia,0.771276596,0.122782315,0.036549708,0.136518771,0.908304498,0.013513514,Africa
 Zimbabwe,0.792553191,0.066460152,0.038174139,0.129692833,0.887543253,0.198280098,Africa
 Andorra,0.186170213,0.276189928,0.025643308,0.241261614,0.856470549,0.139971549,Europe
 Fiji,0.489361702,0.293821643,0.042560104,0.085324232,0.834775087,0.127272727,Oceania
 Saint Lucia,0.45212766,0.205089631,0.036224821,0.023890785,0.910034602,0.04963145,North America
 Liechtenstein,0.095744681,0.488001393,1,0.005602003,0.903867008,0.001789528,Europe
 Sao Tome and Principe,0.712765957,0.32774613,0.042235218,0.365187713,0.850346021,0.058230958,Africa
 Trinidad and Tobago,0.35106383,0.183911789,0.02842755,0.010238908,0.936851211,0.014250614,North America
 Yemen,0.946808511,0.107004953,0.03151397,1,0.892733564,0.335872236,Africa
